Legacy_Node_Name,New_Dataset_Column
DDoS-ALL,DDoS-ALL
Phishing-ALL,Phishing-ALL
Ransomware-ALL,Ransomware-ALL
Password Attack-ALL,Password Attack-ALL
Account Hijacking-ALL,Account Hijacking-ALL
Trojan-ALL,Trojan-ALL
Vulnerability-ALL,Vulnerability-ALL
Zero-day-ALL,Zero-day-ALL
Advanced persistent threat-ALL,Advanced persistent threat-ALL
Malware-ALL,Malware-ALL
Disinformation/Misinformation-ALL,Disinformation/Misinformation-ALL
Targeted Attack-ALL,Targeted Attack-ALL
Brute Force Attack-ALL,Brute Force Attack-ALL
Backdoor-ALL,Backdoor-ALL
Botnet-ALL,Botnet-ALL
Cryptojacking-ALL,Cryptojacking-ALL
Mentions-MITM,Papers_MITM
Mentions-DNS Spoofing,Papers_DNS_Spoofing
Mentions-Dropper,Papers_Dropper
Mentions-Insider Threat,Papers_Insider_Threat
Mentions-Adversarial Attack,Papers_Adversarial_Attack
Mentions-Data Poisoning,Papers_Data_Poisoning
Mentions-Deepfake,Papers_Deepfake
Mentions-Supply Chain,Papers_Supply_Chain
Mentions-IoT Device Attack,Papers_IoT_Device_Attack
Mentions-Session Hijacking,Papers_Session_Hijacking
Solution_BLOCKCHAIN_Mentions,Solution_BLOCKCHAIN_Papers
Solution_ACCESS CONTROL_Mentions,Solution_ACCESS_CONTROL_Papers
Solution_ENCRYPTION_Mentions,Solution_ENCRYPTION_Papers
Solution_SUPPLY CHAIN RISK MANAGEMENT_Mentions,Solution_SUPPLY_CHAIN_RISK_MANAGEMENT_Papers
Solution_IDENTITY MANAGEMENT_Mentions,Solution_IDENTITY_MANAGEMENT_Papers
Solution_ANOMALY DETECTION_Mentions,Solution_ANOMALY_DETECTION_Papers
Solution_CRYPTOGRAPHY_Mentions,Solution_CRYPTOGRAPHY_Papers
Solution_PENETRATION TESTING_Mentions,Solution_PENETRATION_TESTING_Papers
Solution_IDS/IPS_Mentions,Solution_IDS/IPS_Papers
Solution_STATIC ANALYSIS_Mentions,Solution_STATIC_ANALYSIS_Papers
Solution_DYNAMIC ANALYSIS_Mentions,Solution_DYNAMIC_ANALYSIS_Papers
Solution_MULTI FACTOR AUTHENTICATION_Mentions,Solution_MULTI_FACTOR_AUTHENTICATION_Papers
Solution_LEAST PRIVILEGE_Mentions,Solution_LEAST_PRIVILEGE_Papers
Solution_SESSION MANAGEMENT_Mentions,Solution_SESSION_MANAGEMENT_Papers
Solution_CAPTCHA_Mentions,Solution_CAPTCHA_Papers
Solution_BLACKLISTING_Mentions,Solution_BLACKLISTING_Papers
Solution_RATE LIMITING_Mentions,Solution_RATE_LIMITING_Papers
Solution_GRAPHICAL MODEL_Mentions,Solution_GRAPHICAL_MODEL_Papers
Solution_HONEYPOT_Mentions,Solution_HONEYPOT_Papers
Solution_SOFTWARE DEFINED NETWORK_Mentions,Solution_SOFTWARE_DEFINED_NETWORK_Papers
Solution_GAME THEORY_Mentions,Solution_GAME_THEORY_Papers
Solution_TRAFFIC SHAPING_Mentions,Solution_TRAFFIC_SHAPING_Papers
Solution_PACKET FILTERING_Mentions,Solution_PACKET_FILTERING_Papers
Solution_BLACKHOLING_Mentions,Solution_BLACKHOLING_Papers
Solution_RANK CORRELATION_Mentions,Solution_RANK_CORRELATION_Papers
Solution_STRONG AUTHENTICATION_Mentions,Solution_STRONG_AUTHENTICATION_Papers
Solution_SSL/TLS_Mentions,Solution_SSL/TLS_Papers
Solution_HTTPS_Mentions,Solution_HTTPS_Papers
Solution_CONTINUOUS AUTHENTICATION_Mentions,Solution_CONTINUOUS_AUTHENTICATION_Papers
Solution_Identity-Based Encryption (IBE)_Mentions,Solution_IDENTITY_BASED_ENCRYPTION_Papers
Solution_DATA SANITIZATION_Mentions,Solution_DATA_SANITIZATION_Papers
Solution_OUTLIER DETECTION_Mentions,Solution_OUTLIER_DETECTION_Papers
Solution_DATA PROVENANCE_Mentions,Solution_DATA_PROVENANCE_Papers
Solution_ADVERSARIAL TRAINING_Mentions,Solution_ADVERSARIAL_TRAINING_Papers
Solution_TRUSTWORTHY AI_Mentions,Solution_TRUSTWORTHY_AI_Papers
