Date,Papers_DDoS,Papers_Phishing,Papers_Ransomware,Papers_Password_Attack,Papers_SQL_Injection,Papers_Account_Hijacking,Papers_Defacement,Papers_Trojan,Papers_Vulnerability,Papers_Zero_day,Papers_Advanced_Persistent_Threat,Papers_XSS,Papers_Malware,Papers_Data_Breach,Papers_Disinformation/Misinformation,Papers_Targeted_Attack,Papers_Adware,Papers_Brute_Force_Attack,Papers_Malvertising,Papers_Backdoor,Papers_Botnet,Papers_Cryptojacking,Papers_Worms,Papers_Spyware,Papers_MITM,Papers_DNS_Spoofing,Papers_Pegasus_Spyware,Papers_CoolWebSearch_Spyware,Papers_Gator_GAIN_Spyware,Papers_180search_Assistant_Spyware,Papers_Transponder_vx2_Spyware,Papers_WannaCry_Ransomware,Papers_Colonial_Pipeline_Ransomware,Papers_Cryptolocker,Papers_Dropper,Papers_Wiper,Papers_Pharming,Papers_Insider_Threat,Papers_Drive_by,Papers_Rootkit,Papers_Adversarial_Attack,Papers_Data_Poisoning,Papers_Deepfake,Papers_Deeplocker,Papers_Supply_Chain,Papers_IoT_Device_Attack,Papers_Keylogger,Papers_DNS_Tunneling,Papers_Session_Hijacking,Papers_URL_manipulation,Papers_Unknown_Attack
2011-07,13,4,0,10,1,0,0,0,3,0,0,1,45,7,1,1,0,1,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1
2011-08,17,1,0,4,1,0,0,2,3,0,2,0,45,8,0,1,0,2,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0
2011-09,12,5,0,5,0,0,1,0,5,1,1,2,53,13,0,4,0,4,0,1,5,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1,0,0,0,0,2,1
2011-10,15,5,0,7,0,0,1,3,3,1,0,0,64,12,0,2,1,3,0,0,6,0,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,1,2,1
2011-11,10,9,0,11,2,0,0,2,5,0,3,1,50,13,0,1,0,2,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,1,0,1
2011-12,12,1,0,2,1,0,0,2,3,1,1,0,50,10,1,2,0,4,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2012-01,20,9,0,17,5,0,1,2,11,2,1,3,93,14,1,1,0,5,0,0,7,0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,0,1
2012-02,9,2,0,4,0,0,0,0,2,0,0,1,47,8,0,1,0,1,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
2012-03,14,4,0,6,1,0,0,0,1,0,2,1,46,7,1,4,0,3,0,0,4,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0
2012-04,5,7,0,10,0,0,0,3,2,1,1,1,42,11,2,1,0,2,0,0,5,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,2
2012-05,16,4,0,9,0,0,0,2,3,0,1,2,42,7,3,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0
2012-06,12,7,0,6,7,0,0,1,2,0,0,2,37,12,1,3,0,3,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,1,2,0
2012-07,10,9,0,6,0,0,0,2,3,1,1,2,48,11,0,1,1,4,1,1,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0
2012-08,13,3,0,8,3,0,0,1,1,0,0,2,35,10,0,2,0,2,0,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1
2012-09,13,3,0,7,1,0,0,0,3,2,1,2,48,6,0,1,0,4,1,0,5,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,1,0
2012-10,15,4,0,7,1,0,0,3,3,0,0,1,50,10,0,1,0,5,0,0,8,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
2012-11,6,2,0,8,3,0,0,0,1,1,1,1,42,7,0,3,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-12,13,5,0,12,1,0,0,0,6,0,1,1,46,18,1,1,0,5,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0
2013-01,17,23,0,12,1,0,0,7,5,1,2,0,94,8,5,5,0,2,0,0,10,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,1,0
2013-02,14,2,0,6,0,0,0,3,1,1,2,0,54,7,1,0,0,3,0,0,15,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,3,1
2013-03,11,2,0,8,2,0,0,3,4,0,0,1,54,19,0,2,0,1,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0
2013-04,11,1,0,6,0,0,0,2,4,3,0,0,50,7,0,2,0,2,0,1,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0
2013-05,5,3,0,7,1,0,1,1,1,1,1,0,32,5,0,1,0,1,0,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1
2013-06,10,6,0,14,1,0,0,2,0,1,0,0,36,15,0,1,0,4,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,2,0,1,0,0,0,1
2013-07,8,4,0,11,0,0,0,2,2,0,1,0,39,11,1,0,0,0,0,1,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2013-08,8,4,0,8,1,0,0,0,3,1,0,2,47,12,0,1,0,1,0,0,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,1,0
2013-09,7,4,0,11,0,0,0,0,3,1,1,1,50,14,1,3,0,3,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0
2013-10,13,2,0,5,2,0,0,1,2,0,2,1,44,14,0,5,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,2,0,1,0,0,3,0
2013-11,15,6,0,7,1,0,0,2,3,0,0,0,56,16,0,2,1,1,0,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,3,1,0
2013-12,10,3,0,8,1,0,1,1,1,0,1,2,39,7,0,2,0,2,0,1,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,4,0,1,0,0,1,1
2014-01,33,21,1,11,4,0,1,5,9,4,7,2,144,32,7,6,1,4,0,1,13,0,5,2,8,2,0,0,0,0,0,0,0,0,0,0,0,8,3,2,7,0,0,0,5,1,0,0,1,2,0
2014-02,27,7,0,13,4,0,0,2,7,3,3,5,81,13,1,5,0,11,0,0,4,0,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,1,2,1,0
2014-03,24,3,1,4,5,0,0,5,13,1,0,2,68,25,1,0,0,6,0,0,6,0,6,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,1,1,0,1,0,0
2014-04,21,6,0,9,2,0,0,4,7,5,2,1,74,14,2,5,0,4,0,1,6,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1
2014-05,10,4,0,14,1,0,0,1,3,1,2,1,50,18,1,2,0,4,0,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,1,1
2014-06,13,5,0,13,3,0,0,1,6,0,0,2,76,20,0,0,0,3,0,0,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,1,1
2014-07,23,9,0,14,3,0,0,0,4,1,2,2,58,9,1,5,0,1,0,0,8,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0
2014-08,14,5,0,11,0,0,0,2,5,0,0,0,58,16,0,1,0,1,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,2,2,0,0,1,2,0
2014-09,39,12,0,16,12,1,0,0,17,3,1,3,109,37,0,9,1,4,0,0,17,0,4,2,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,0,0,0,2,0,1,0,1,3,1
2014-10,56,16,0,19,3,1,0,6,7,0,3,6,110,31,1,2,0,5,0,0,21,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,2,2,0,0,0,3,1
2014-11,52,15,0,28,1,2,1,6,27,6,3,3,165,30,0,6,0,7,2,3,22,0,7,0,15,2,0,0,0,0,0,0,0,0,0,0,0,10,4,2,11,0,0,0,3,0,0,0,0,1,0
2014-12,72,23,0,12,2,0,0,9,16,1,4,1,208,48,0,3,0,9,0,0,23,0,7,1,15,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,11,0,0,0,6,3,0,0,0,6,2
2015-01,37,29,1,33,6,0,0,6,20,7,2,3,167,41,4,7,0,7,0,1,10,0,4,5,13,1,0,0,0,0,0,0,0,0,0,0,1,6,2,0,10,0,0,0,5,4,0,0,4,1,2
2015-02,31,7,0,15,2,0,0,2,6,1,3,2,83,18,2,9,1,3,0,1,6,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1
2015-03,38,10,3,24,6,0,0,5,5,0,1,3,93,29,3,3,0,4,0,0,5,0,4,0,11,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,5,0,0,0,2,1,0,0,0,4,0
