date,US_holiday,GB_holiday,CA_holiday,AU_holiday,UA_holiday,RU_holiday,FR_holiday,DE_holiday,BR_holiday,CN_holiday,JP_holiday,PK_holiday,KP_holiday,KR_holiday,IN_holiday,TW_holiday,NL_holiday,ES_holiday,SE_holiday,MX_holiday,IR_holiday,IL_holiday,SA_holiday,SY_holiday,FI_holiday,IE_holiday,AT_holiday,NO_holiday,CH_holiday,IT_holiday,MY_holiday,EG_holiday,TR_holiday,PT_holiday,PS_holiday,AE_holiday,Holidays
Jul-11,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
Aug-11,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,2,0,0,1,1,0,1,1,3,2,2,1,0,2,28
Sep-11,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,4,1,0,3,6,0,0,0,0,0,0,0,1,1,1,0,0,1,28
Oct-11,1,0,1,0,0,0,0,1,1,3,1,0,0,2,2,2,0,1,5,0,0,11,0,0,0,1,1,0,0,0,1,1,1,1,0,0,37
Nov-11,2,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,1,5,2,0,0,4,0,1,0,1,0,0,1,3,5,4,1,0,5,43
Dec-11,2,3,3,3,0,1,1,2,1,0,1,0,0,1,1,0,2,3,7,2,0,8,0,0,4,3,3,2,1,3,2,0,0,3,0,2,64
Jan-12,3,3,2,3,2,8,1,1,1,4,3,0,0,4,2,5,1,2,6,2,0,0,0,0,2,2,2,1,1,2,4,3,1,1,0,1,73
Feb-12,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,16
Mar-12,0,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,4,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
Apr-12,0,2,2,3,1,0,1,2,3,1,2,0,0,0,0,1,4,2,7,0,0,11,0,0,3,1,1,4,3,3,0,3,1,3,0,0,64
