Date,War_Conflict_US,War_Conflict_GB,War_Conflict_CA,War_Conflict_AU,War_Conflict_UA,War_Conflict_RU,War_Conflict_FR,War_Conflict_DE,War_Conflict_BR,War_Conflict_CN,War_Conflict_JP,War_Conflict_PK,War_Conflict_KP,War_Conflict_KR,War_Conflict_IN,War_Conflict_TW,War_Conflict_NL,War_Conflict_ES,War_Conflict_SE,War_Conflict_MX,War_Conflict_IR,War_Conflict_IL,War_Conflict_SA,War_Conflict_SY,War_Conflict_FI,War_Conflict_IE,War_Conflict_AT,War_Conflict_NO,War_Conflict_CH,War_Conflict_IT,War_Conflict_MY,War_Conflict_EG,War_Conflict_TR,War_Conflict_PT,War_Conflict_PS,War_Conflict_AE,War_Conflict_All
2011-07,129,76,25,14,24,56,62,41,7,62,21,27,7,3,28,6,10,19,11,11,54,50,18,131,2,10,3,10,5,15,7,26,109,1,18,4,1102
2011-08,96,53,17,12,14,25,47,25,4,35,13,18,6,2,23,5,8,9,7,9,29,30,9,60,3,2,3,7,2,6,4,18,40,1,14,1,657
2011-09,45,25,5,3,7,9,23,10,1,15,6,4,1,259,9,1,3,2,1,6,9,9,5,15,1,1,0,1,0,1,3,7,10,1,6,1,505
2011-10,97,47,18,10,9,22,35,20,3,30,24,11,3,1,15,4,8,6,3,10,29,33,10,36,3,6,1,4,1,10,10,18,19,1,13,4,574
2011-11,136,48,34,16,6,38,36,27,3,49,31,21,5,3,20,3,12,5,4,11,50,48,12,47,4,7,2,4,4,14,9,21,39,0,9,6,784
2011-12,177,62,32,12,11,58,44,32,3,64,33,23,7,4,38,0,11,7,8,10,84,74,20,76,4,7,1,5,4,13,3,18,56,1,11,5,1018
2012-01,94,36,11,3,7,33,20,15,2,30,20,9,4,2,24,0,4,6,6,3,54,50,13,49,2,5,0,4,1,8,1,8,26,1,9,2,562
2012-02,227,88,23,15,18,87,51,36,6,78,31,39,10,3,79,3,9,11,9,7,152,132,34,119,4,9,3,4,3,15,8,21,56,3,29,2,1424
2012-03,213,98,32,25,18,87,70,40,10,102,31,43,17,9,74,7,11,14,12,8,137,122,30,125,3,12,4,2,2,21,18,25,53,6,44,7,1532
2012-04,190,80,27,22,10,62,61,41,6,102,42,27,17,13,38,11,10,16,11,8,64,62,16,101,3,15,2,6,3,25,24,26,43,4,30,15,1233
2012-05,100,34,7,9,3,29,22,22,0,48,22,14,6,5,19,7,4,7,2,4,25,22,7,46,2,7,1,4,3,11,13,14,20,0,6,8,553
2012-06,199,89,19,27,16,84,58,46,3,91,40,23,12,7,40,9,10,16,11,9,66,68,22,124,4,13,4,11,4,15,16,27,58,0,24,12,1277
2012-07,237,109,26,32,28,125,60,44,5,104,40,24,11,7,50,2,11,11,16,25,153,154,43,193,5,15,4,10,4,10,7,37,94,2,42,9,1749
2012-08,253,119,31,26,23,124,67,37,4,105,31,31,15,10,47,2,8,9,9,28,194,171,38,217,5,17,5,12,3,12,6,36,113,5,38,13,1864
2012-09,117,64,18,12,8,55,43,17,2,43,9,15,10,5,18,2,3,7,3,8,82,66,9,103,2,8,4,9,0,6,2,14,57,3,15,8,847
2012-10,243,128,39,20,23,96,89,42,5,107,27,36,13,7,42,4,4,22,5,16,138,148,27,224,3,13,6,13,7,12,5,35,118,4,71,19,1811
2012-11,232,111,37,21,26,89,76,49,9,121,40,36,12,4,42,2,8,29,6,13,92,125,34,213,3,9,4,9,12,17,6,52,108,3,79,14,1743
2012-12,105,48,16,13,11,48,30,23,6,57,22,13,9,286,18,0,6,14,3,4,36,44,18,93,2,4,1,5,5,11,3,31,47,2,24,3,1061
2013-01,270,155,52,30,22,119,188,68,13,135,44,42,16,7,40,3,22,27,13,17,99,102,35,213,10,19,6,7,11,24,6,77,89,5,47,12,2045
2013-02,315,202,56,30,28,129,229,89,14,174,45,51,29,7,47,5,21,38,18,39,97,98,33,219,11,29,7,3,9,32,12,72,88,10,37,17,2340
2013-03,301,171,33,22,36,117,126,97,10,201,61,40,57,19,51,4,14,81,14,140,84,112,32,224,5,29,5,4,6,29,17,48,94,12,45,27,2368
2013-04,151,76,12,9,18,59,56,53,3,105,38,18,34,16,26,2,8,56,5,115,50,72,16,123,2,15,2,3,3,10,8,21,47,5,31,19,1287
2013-05,377,221,43,30,49,217,144,118,14,208,79,56,54,23,61,7,26,75,18,131,146,196,50,379,7,40,8,6,7,24,19,61,136,13,74,26,3143
2013-06,396,230,46,35,52,241,139,98,20,184,60,69,37,17,71,7,33,28,22,29,159,207,65,422,10,34,10,8,11,30,15,95,158,14,72,13,3137
2013-07,826,324,49,50,74,410,177,90,13,244,59,64,53,25,95,11,28,39,36,22,233,280,94,900,9,30,5,11,19,39,13,143,206,13,83,14,4781
2013-08,495,240,33,36,52,323,126,56,4,163,41,33,35,14,58,9,13,30,27,9,169,197,63,607,4,21,2,6,12,23,9,86,136,7,54,8,3201
2013-09,862,333,61,53,80,457,200,90,7,240,62,58,49,18,109,10,29,49,34,25,228,266,95,1037,7,29,4,13,18,37,15,118,194,16,84,17,5004
2013-10,399,152,45,27,44,183,123,61,8,137,48,40,25,8,76,5,30,32,11,23,93,112,47,343,5,13,4,13,8,24,11,47,95,15,48,17,2372
2013-11,158,60,17,10,16,49,50,27,5,60,27,15,11,4,26,4,14,13,4,7,34,39,15,99,2,5,2,6,2,10,5,15,37,6,18,8,880
2013-12,312,129,30,28,40,100,86,65,10,127,69,35,22,12,54,10,21,25,13,13,64,83,43,218,5,12,8,12,4,20,16,41,72,8,40,18,1865
2014-01,326,193,42,34,84,177,91,85,16,153,71,43,26,17,61,14,17,30,20,19,114,115,49,318,12,18,12,21,18,28,24,77,112,4,54,21,2516
2014-02,410,214,62,42,204,311,109,104,21,194,63,40,32,16,74,11,24,38,22,33,126,123,38,313,9,26,17,29,25,38,38,77,126,7,57,28,3101
2014-03,238,90,33,26,143,185,54,57,10,108,34,17,17,7,41,3,14,20,11,20,42,49,17,112,0,15,11,14,9,20,25,26,49,5,25,17,1564
2014-04,433,184,58,43,330,387,108,112,12,198,78,35,31,13,70,9,28,40,17,25,63,79,28,178,6,27,20,18,13,34,35,43,70,11,41,22,2899
2014-05,343,165,56,35,329,361,103,97,8,154,70,41,24,9,58,11,31,31,10,11,64,67,29,153,6,20,15,9,7,24,16,37,48,8,35,11,2496
2014-06,354,158,61,33,332,367,106,107,19,118,57,61,19,9,53,6,39,27,20,12,93,155,33,208,3,19,14,14,12,27,33,45,62,9,123,11,2819
2014-07,184,87,30,15,189,208,57,65,13,54,31,38,9,6,24,1,22,16,16,6,51,119,16,121,3,11,8,9,9,17,27,25,35,7,104,5,1638
2014-08,453,195,60,37,536,572,159,167,20,137,70,89,22,15,77,6,39,36,30,18,89,183,31,362,18,21,18,14,16,40,49,38,75,15,139,12,3858
2014-09,498,245,73,53,670,748,204,227,19,182,80,65,29,20,93,16,38,46,52,20,80,119,38,398,29,23,19,20,28,62,36,31,147,12,57,13,4490
2014-10,332,189,65,42,383,431,155,177,13,143,65,26,24,14,61,15,29,43,53,17,64,74,30,199,17,20,14,21,27,54,20,34,128,10,34,10,3033
2014-11,136,56,22,10,78,100,54,51,1,43,24,11,8,3,20,4,8,17,15,9,22,19,7,40,3,7,5,5,6,15,6,16,21,6,12,4,864
2014-12,264,105,32,16,106,152,84,81,4,86,41,25,18,3131,37,10,16,26,27,11,44,37,12,95,7,10,6,7,12,25,10,25,46,7,21,6,4642
2015-01,346,133,37,25,136,182,109,110,10,91,51,25,18,7,66,13,21,30,29,12,50,48,21,128,10,17,16,10,10,28,6,22,62,15,21,5,1920
2015-02,217,84,28,19,108,130,77,79,7,49,34,11,8,6,49,7,13,21,17,10,28,30,16,73,6,14,15,8,4,18,2,13,37,14,12,3,1267
