Date,War_Conflict_US,War_Conflict_GB,War_Conflict_CA,War_Conflict_AU,War_Conflict_UA,War_Conflict_RU,War_Conflict_FR,War_Conflict_DE,War_Conflict_BR,War_Conflict_CN,War_Conflict_JP,War_Conflict_PK,War_Conflict_KP,War_Conflict_KR,War_Conflict_IN,War_Conflict_TW,War_Conflict_NL,War_Conflict_ES,War_Conflict_SE,War_Conflict_MX,War_Conflict_IR,War_Conflict_IL,War_Conflict_SA,War_Conflict_SY,War_Conflict_FI,War_Conflict_IE,War_Conflict_AT,War_Conflict_NO,War_Conflict_CH,War_Conflict_IT,War_Conflict_MY,War_Conflict_EG,War_Conflict_TR,War_Conflict_PT,War_Conflict_PS,War_Conflict_AE,War_Conflict_All
2011-07,132,76,26,16,24,57,66,42,9,62,23,35,7,3,32,8,12,20,11,15,55,50,19,131,2,12,4,28,5,18,7,26,110,4,18,4,1169
2011-08,98,55,20,12,14,26,54,31,4,36,19,24,9,3,25,7,12,13,9,14,29,34,10,63,7,3,3,12,4,9,5,25,40,2,16,3,750
2011-09,54,31,12,5,7,10,26,16,1,15,11,16,3,259,11,1,4,4,1,6,10,10,10,16,1,6,2,2,4,5,4,13,12,1,10,1,600
2011-10,103,50,21,14,9,23,39,25,4,33,25,16,4,4,19,6,10,12,3,15,33,33,15,37,3,7,2,7,3,16,10,24,24,3,13,4,669
2011-11,138,53,36,23,6,41,39,27,4,49,32,32,6,3,24,3,14,7,8,15,54,52,12,49,6,7,3,7,7,16,13,28,40,4,11,7,876
2011-12,184,68,34,16,11,58,51,38,5,66,36,27,8,11,41,2,14,14,14,12,97,80,23,78,6,11,1,7,6,19,3,24,57,1,12,7,1142
2012-01,98,40,15,6,7,36,24,19,2,36,31,13,5,3,25,0,5,14,8,9,68,55,16,50,3,8,2,6,4,13,1,13,28,3,9,3,678
2012-02,230,89,30,19,18,88,53,40,7,80,32,47,11,8,82,4,10,15,9,11,157,134,36,122,4,13,5,5,6,20,9,21,58,6,29,3,1511
2012-03,217,99,37,27,18,87,74,42,13,105,31,47,20,9,75,8,13,20,13,19,147,127,32,129,3,16,5,5,2,23,18,28,56,14,45,7,1631
2012-04,191,83,30,27,11,64,66,46,7,103,44,30,18,14,41,11,13,23,14,17,66,62,20,101,3,17,2,12,8,27,24,30,46,8,31,17,1327
2012-05,102,38,9,13,4,31,25,23,2,50,27,17,6,6,21,8,11,15,4,19,27,27,8,46,5,11,2,9,6,17,17,20,22,5,8,9,670
2012-06,205,92,24,30,17,87,62,48,4,92,48,36,13,11,45,10,13,19,14,17,67,74,23,134,5,16,5,15,7,17,17,35,65,5,26,12,1410
2012-07,248,115,30,34,28,127,63,47,6,106,43,26,14,10,54,2,13,15,24,28,160,155,48,201,7,16,5,16,9,14,7,48,96,4,45,9,1873
2012-08,257,121,43,31,23,124,69,39,6,105,35,34,17,15,51,6,12,12,14,36,199,175,39,222,7,21,7,16,9,14,8,41,115,5,41,14,1983
2012-09,119,68,30,17,8,57,51,21,5,44,33,19,12,9,22,5,6,13,10,15,95,75,17,107,3,11,4,10,4,11,2,25,61,6,21,8,1024
2012-10,252,132,48,23,23,99,92,47,9,109,33,45,16,13,46,4,9,32,8,22,142,153,36,232,5,14,8,18,9,17,5,40,130,9,72,19,1971
2012-11,240,117,51,23,26,92,83,50,16,126,45,44,14,5,44,3,11,35,9,26,99,140,35,220,7,15,8,12,18,19,7,62,116,8,109,15,1950
2012-12,110,56,24,19,11,48,36,29,8,62,28,19,13,288,20,3,10,18,8,11,41,49,21,106,3,12,4,8,8,16,5,34,57,3,26,3,1217
2013-01,273,160,58,32,22,123,200,71,14,140,56,51,22,13,45,6,27,32,15,21,101,105,40,219,12,22,9,7,14,25,6,84,91,8,49,12,2185
2013-02,319,206,61,31,29,131,232,94,16,179,50,58,44,19,48,8,22,39,18,47,99,99,34,225,12,29,8,8,10,35,14,73,90,12,39,17,2455
2013-03,311,179,41,25,37,119,135,101,14,209,70,53,125,71,56,8,16,88,20,143,91,121,39,238,7,37,8,9,10,33,17,52,97,14,49,27,2670
2013-04,162,82,14,14,18,60,59,58,5,114,52,27,76,42,31,4,9,57,10,116,53,77,18,132,5,19,4,11,7,14,9,25,48,7,33,19,1491
2013-05,380,228,47,36,49,218,150,124,17,212,88,64,57,25,62,7,28,80,22,138,150,203,54,401,15,48,10,9,10,29,20,63,142,15,78,26,3305
2013-06,404,238,54,40,52,245,143,110,25,187,63,75,39,20,76,7,33,37,22,34,164,213,72,419,13,44,11,9,16,34,16,112,176,19,72,13,3307
2013-07,407,329,58,53,74,403,182,96,16,247,66,66,61,28,97,14,29,43,38,31,233,281,96,414,12,35,8,15,23,41,13,182,207,16,87,14,4015
2013-08,412,250,41,42,53,325,130,61,6,169,54,44,42,16,66,11,16,35,31,12,173,203,69,494,7,27,6,8,15,29,11,113,141,10,55,10,3187
2013-09,410,342,68,55,80,404,207,99,12,249,69,66,53,18,113,16,36,55,39,32,236,276,110,511,8,32,5,17,21,42,15,129,200,19,87,18,4149
2013-10,406,165,60,32,44,184,136,63,13,142,52,51,27,12,83,8,37,36,11,30,100,117,51,354,7,14,9,16,10,35,13,53,98,15,48,17,2549
2013-11,161,67,26,14,16,49,59,37,7,64,38,19,24,7,29,6,16,19,8,13,39,49,20,112,4,7,4,13,4,18,6,19,39,10,19,8,1050
2013-12,318,134,37,31,42,105,92,67,16,135,83,43,33,21,60,12,26,32,16,19,68,87,49,232,9,18,13,17,6,25,16,45,79,13,40,18,2057
2014-01,334,203,57,36,84,179,99,89,18,159,88,49,30,27,65,16,18,35,22,25,120,122,51,331,12,19,15,26,20,30,25,79,114,8,56,21,2682
2014-02,411,219,71,49,207,315,113,109,28,201,79,47,40,23,80,19,28,40,26,40,133,127,40,322,12,30,19,31,28,41,41,83,127,10,59,28,3276
2014-03,250,99,47,30,161,198,62,65,14,120,46,24,23,15,49,11,17,24,16,25,48,53,20,124,9,19,18,20,12,23,38,31,62,10,26,17,1826
2014-04,403,191,63,50,331,390,118,118,18,203,89,45,37,23,74,14,33,45,26,29,67,83,30,197,9,31,21,21,17,37,37,48,79,14,42,23,3056
2014-05,352,175,67,40,331,364,116,100,12,160,76,50,27,14,65,14,34,37,18,16,70,75,33,164,10,24,20,11,11,29,16,50,51,11,35,11,2689
2014-06,367,167,65,37,334,373,117,117,22,126,65,67,26,10,64,6,48,33,27,17,100,162,43,220,12,27,21,22,14,30,33,51,66,12,125,12,3038
2014-07,193,104,41,24,191,213,66,79,18,60,43,42,14,8,31,4,35,17,20,11,52,150,18,129,9,16,15,13,16,20,50,34,40,9,164,5,1954
2014-08,406,210,80,43,405,405,170,176,25,143,83,103,24,21,87,7,45,42,37,24,96,209,46,386,27,29,25,21,20,46,54,51,82,16,183,17,3844
